id;left;top;right;bottom;row_index;col_index;field_1;PC1;PC2;PC3;PC4;PC5;PC6;typology;city;z_distance;q_cluster;lst_mean;solar_summ;solar_wint;pm10_mean;pm25_mean;no2_mean;noiseday_m;noisenight;bin_lst_me;bin_solar_;bin_sola_1;bin_pm10_m;bin_pm25_m;bin_no2_me;bin_noised;bin_noisen;City;Building height;Height varability;Sky view factor;Frontal area index;Water cover fraction;Impervious surface cover fraction;Building cover fraction;Pervious surface cover fraction;Aspect ratio;Intersections;Length N-S;Length NE-SW;Length SE-NW;Length E-W;Length primary road;Length highway;Length secondary road;Length railway;Neighbourhood type
105;2498473,99;1119889,101;2498723,99;1119639,101;4;4;1367;-0,117116193;0,225590014;-0,916434343;0,085707024;0,93824705;1,283658127;G;geneva;1,854694145;(1.48,2];-0,088862281;0,012007409;0,475463902;-0,972357345;-1,07321395;-0,759298916;-0,328123584;-0,623363449;(-0.699,-0.0567];(-0.0457,0.658];(-0.31,0.529];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-0.657,0.0621];(-0.65,0.106];geneva;16,23617735;7,406;0,628139301;0,078;0;0,272;0,143;0,585;0,356;8;123,08;280,67;235,48;275,91;0;0;915,14;0;G-E
106;2498473,99;1119639,101;2498723,99;1119389,101;5;4;1368;0,191607202;1,243322797;-1,388906702;-1,401561667;1,509776083;2,179631646;G;geneva;3,536413404;(2.66,11.4];-0,699558965;0,543025623;-1,095721147;-0,110328577;-0,240642157;-0,259156453;1,309845403;1,761983203;(-2.4,-0.699];(-0.0457,0.658];(-1.71,-0.722];(-0.162,0.673];(-0.731,-0.152];(-0.72,-0.0796];(0.737,2.34];(0.611,2.66];geneva;22,48341855;8,371;0,543521383;0,085;0;0,132;0,111;0,757;0,338;6;1,2;485,28;319,55;0;0;0;806,03;0;G-E
107;2498473,99;1119389,101;2498723,99;1119139,101;6;4;1369;0,328625489;-0,357561508;-2,032358064;-0,17821919;0,767921718;1,581636603;G;geneva;2,736670319;(2.66,11.4];-0,29976551;0,659665798;-0,436301152;-0,18112321;-0,491736973;-0,114910012;-0,605568584;0,106251479;(-0.699,-0.0567];(0.658,2.84];(-0.722,-0.31];(-0.717,-0.162];(-0.731,-0.152];(-0.72,-0.0796];(-0.657,0.0621];(0.106,0.611];geneva;19,25458346;7,759;0,544201217;0,091;0;0,43;0,127;0,443;0,29;2;284,25;199,62;113,25;0;0;0;597,12;0;G-E
108;2498473,99;1119139,101;2498723,99;1118889,101;7;4;1370;-1,074897795;1,421132064;-0,073709941;0,36502079;0,65529628;0,260132618;E;geneva;1,95212119;(1.48,2];0,36850691;0,038016236;-0,211601228;-0,035684343;-0,46886085;0,152392751;-0,228249744;0,38041634;(-0.0567,0.716];(-0.0457,0.658];(-0.31,0.529];(-0.162,0.673];(-0.731,-0.152];(-0.0796,0.698];(-0.657,0.0621];(0.106,0.611];geneva;21,37184875;7,09;0,558375216;0,265;0;0,209;0,205;0,586;0,408;12;127,28;327,95;445,79;585,47;743,850309;0;742,639691;0;G-E
109;2498473,99;1118889,101;2498723,99;1118639,101;8;4;1371;-1,255131656;0,084706296;-1,292136044;0,040972086;0,827705269;2,552049475;B;geneva;3,232936348;(2.66,11.4];-0,080668892;0,436106292;0,856457908;-0,827986318;-1,200547257;-0,672981262;-1,245685093;-0,673036846;(-0.699,-0.0567];(-0.0457,0.658];(0.529,3.4];(-2.17,-0.717];(-1.73,-0.731];(-0.72,-0.0796];(-2.7,-0.657];(-2.55,-0.65];geneva;22,15835839;14,466;0,50287195;0,359;0;0,378;0,301;0,321;0,701;17;194,57;593,07;624,79;134,71;0;0;1547,14;0;S-A
110;2498473,99;1118639,101;2498723,99;1118389,101;9;4;1372;0,244454714;0,130647583;-0,197024058;-0,029109848;-0,062623394;0,513482873;C;geneva;0,619741165;(0.312,1.48];-0,248092088;1,455800339;1,493606617;-0,90517145;-1,09850431;-0,842463105;-1,153112382;-0,772345141;(-0.699,-0.0567];(0.658,2.84];(0.529,3.4];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-2.7,-0.657];(-2.55,-0.65];geneva;16,42804161;7,715;0,543982464;0,24;0;0,568;0,237;0,195;0,421;15;538,17;55,65;42,55;509,02;0;0;1145,39;0;S-C
111;2498473,99;1118389,101;2498723,99;1118139,101;10;4;1373;-2,132833121;-0,570398479;-1,601076074;1,399686915;1,510313884;-0,591751966;E;geneva;3,468157726;(2.66,11.4];0,842053367;-0,677979294;-0,599464683;2,029443281;2,070932769;1,510385464;1,550379262;1,591184314;(0.716,2.72];(-2.51,-0.611];(-0.722,-0.31];(0.673,2.38];(0.689,2.65];(0.698,3.07];(0.737,2.34];(0.611,2.66];geneva;15,56080008;9,223;0,474279778;0,276;0;0,572;0,428;0;0,41;10;487,83;14,99;0;623,34;1180,279072;0;0;0;S-B
112;2498473,99;1118139,101;2498723,99;1117889,101;11;4;1374;-0,525346326;0,445610984;0,302659919;-0,343539513;-0,251319763;1,111682746;C;geneva;1,408254411;(0.312,1.48];0,792285164;0,657143065;0,271256683;-0,90517145;-1,313726657;-0,873684734;-1,325533527;-0,949533683;(0.716,2.72];(-0.0457,0.658];(-0.31,0.529];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-2.7,-0.657];(-2.55,-0.65];geneva;17,15202744;9,685;0,525941888;0,32;0;0,667;0,295;0,038;0,437;12;433,59;102,76;370,45;613,14;0;0;1519,94;0;G-B
113;2498473,99;1117889,101;2498723,99;1117639,101;12;4;1375;0,209541842;-0,464639703;0,490051566;-1,395671467;0,293561;1,126616999;C;geneva;1,950202847;(1.48,2];-0,652843566;0,371287109;0,122032454;-1,313115051;-1,483906417;-1,344199889;-1,857365604;-1,749689468;(-0.699,-0.0567];(-0.0457,0.658];(-0.31,0.529];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-2.7,-0.657];(-2.55,-0.65];geneva;19,46275942;7,413;0,543252706;0,275;0,185;0,45;0,227;0,138;0,65;12;308,91;317,82;15,16;340,4;0;0;982,29;0;S-C
114;2498473,99;1117639,101;2498723,99;1117389,101;13;4;1376;0,569459275;-3,20879357;2,666183165;1,884508556;0,436048186;-1,879573597;G;geneva;5,000348001;(2.66,11.4];-0,761950877;-0,280408949;0,388811259;-0,585069058;-0,492265065;-0,7901587;-1,713299692;-1,403128036;(-2.4,-0.699];(-0.611,-0.0457];(-0.31,0.529];(-0.717,-0.162];(-0.731,-0.152];(-2.33,-0.72];(-2.7,-0.657];(-2.55,-0.65];geneva;8,078087454;1,913;0,705619824;0,073;0,5;0,207;0,243;0,05;0,284;4;537,37;86,46;57,23;389,57;0;0;1070,63;0;S-C
